SeqName	Description	Length	#Hits	e-Value	sim mean	#GO	GO IDs	GO Names	Enzyme Codes	Enzyme Names	InterPro IDs	InterPro GO IDs	InterPro GO Names
D915_03929	kinase domain	489	5	0	89	3	F:GO:0005524; F:GO:0004674; P:GO:0006468	F:ATP binding; F:protein serine/threonine kinase activity; P:protein phosphorylation	EC:2.7.11	Transferring phosphorus-containing groups	IPR000719 (SMART); IPR000959 (PFAM); IPR036947 (G3DSA:3.30.1120.GENE3D); IPR000719 (PFAM); G3DSA:1.10.510.10 (GENE3D); G3DSA:3.30.200.20 (GENE3D); PTHR24345 (PANTHER); PTHR24345:SF57 (PANTHER); IPR000719 (PROSITE_PROFILES); IPR000959 (PROSITE_PROFILES); cd14099 (CDD); IPR033701 (CDD); IPR011009 (SUPERFAMILY); SSF82615 (SUPERFAMILY)	F:GO:0005524; F:GO:0005515; F:GO:0004672; P:GO:0006468	F:ATP binding; F:protein binding; F:protein kinase activity; P:protein phosphorylation
D915_11824	kinase domain	373	5	0	76	10	F:GO:0000166; C:GO:0005876; C:GO:0031616; C:GO:0000780; C:GO:0051233; F:GO:0035174; P:GO:0007052; P:GO:0032465; C:GO:0032133; P:GO:0006468	"F:nucleotide binding; C:spindle microtubule; C:spindle pole centrosome; C:condensed nuclear chromosome, centromeric region; C:spindle midzone; F:histone serine kinase activity; P:mitotic spindle organization; P:regulation of cytokinesis; C:chromosome passenger complex; P:protein phosphorylation"	EC:2.7.11	Transferring phosphorus-containing groups	IPR000719 (SMART); G3DSA:3.30.200.20 (GENE3D); G3DSA:1.10.510.10 (GENE3D); IPR000719 (PFAM); IPR030616 (PANTHER); IPR000719 (PROSITE_PROFILES); cd14007 (CDD); IPR011009 (SUPERFAMILY)	F:GO:0005524; F:GO:0004672; P:GO:0006468; P:GO:0007049	F:ATP binding; F:protein kinase activity; P:protein phosphorylation; P:cell cycle
D915_05357	serine threonine	453	5	0	96	3	F:GO:0005524; F:GO:0004672; P:GO:0006468	F:ATP binding; F:protein kinase activity; P:protein phosphorylation			IPR000719 (SMART); G3DSA:3.30.200.20 (GENE3D); G3DSA:1.10.510.10 (GENE3D); IPR000719 (PFAM); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); IPR033624 (PANTHER); IPR000719 (PROSITE_PROFILES); IPR011009 (SUPERFAMILY)	F:GO:0005524; P:GO:0030010; F:GO:0004672; P:GO:0000226; P:GO:0006468; F:GO:0004674	F:ATP binding; P:establishment of cell polarity; F:protein kinase activity; P:microtubule cytoskeleton organization; P:protein phosphorylation; F:protein serine/threonine kinase activity
D915_11878	maternal embryonic leucine zipper kinase	234	5	1.85E-171	91.6	9	C:GO:0005634; F:GO:0005524; P:GO:0018108; F:GO:0004715; C:GO:0005737; P:GO:0006355; F:GO:0043565; F:GO:0004674; P:GO:0035556	"C:nucleus; F:ATP binding; P:peptidyl-tyrosine phosphorylation; F:non-membrane spanning protein tyrosine kinase activity; C:cytoplasm; P:regulation of transcription, DNA-templated; F:sequence-specific DNA binding; F:protein serine/threonine kinase activity; P:intracellular signal transduction"	EC:2.7.10; EC:2.7.11; EC:2.7.10.2	Transferring phosphorus-containing groups; Transferring phosphorus-containing groups; Non-specific protein-tyrosine kinase	IPR000719 (SMART); G3DSA:3.30.200.20 (GENE3D); G3DSA:1.10.510.10 (GENE3D); IPR000719 (PFAM); PIRSF000654 (PIRSF); PF12330 (PFAM); PTHR24343 (PANTHER); PTHR24343:SF320 (PANTHER); IPR000719 (PROSITE_PROFILES); IPR011009 (SUPERFAMILY)	F:GO:0005524; F:GO:0004672; P:GO:0006468	F:ATP binding; F:protein kinase activity; P:protein phosphorylation
D915_11524	kinase domain	359	5	0	96.8	3	F:GO:0005524; F:GO:0004683; P:GO:0006468	F:ATP binding; F:calmodulin-dependent protein kinase activity; P:protein phosphorylation	EC:2.7.11; EC:2.7.11.17	Transferring phosphorus-containing groups; Calcium/calmodulin-dependent protein kinase	IPR000719 (SMART); G3DSA:1.10.510.10 (GENE3D); PIRSF000654 (PIRSF); G3DSA:3.30.200.20 (GENE3D); IPR000719 (PFAM); PTHR24349:SF251 (PANTHER); PTHR24349 (PANTHER); IPR000719 (PROSITE_PROFILES); cd05117 (CDD); IPR011009 (SUPERFAMILY)	F:GO:0005524; F:GO:0004672; P:GO:0006468	F:ATP binding; F:protein kinase activity; P:protein phosphorylation
D915_00353	kinase domain	760	5	0	69.6						IPR000719 (PFAM); G3DSA:3.30.200.20 (GENE3D); G3DSA:3.30.200.20 (GENE3D); G3DSA:1.10.510.10 (GENE3D); G3DSA:1.10.510.10 (GENE3D); mobidb-lite (MOBIDB_LITE); PTHR24351:SF110 (PANTHER); PTHR24351 (PANTHER); IPR000719 (PROSITE_PROFILES); IPR011009 (SUPERFAMILY); IPR011009 (SUPERFAMILY); IPR011009 (SUPERFAMILY)	F:GO:0005524; F:GO:0004672; P:GO:0006468	F:ATP binding; F:protein kinase activity; P:protein phosphorylation
D915_01686	kinase domain	396	5	0	80.8	3	F:GO:0000166; P:GO:0016310; F:GO:0004674	F:nucleotide binding; P:phosphorylation; F:protein serine/threonine kinase activity	EC:2.7.11	Transferring phosphorus-containing groups	IPR000719 (SMART); IPR000719 (PFAM); IPR013543 (PFAM); G3DSA:1.10.510.10 (GENE3D); G3DSA:3.10.450.50 (GENE3D); mobidb-lite (MOBIDB_LITE); PTHR43940 (PANTHER); PTHR43940:SF1 (PANTHER); IPR000719 (PROSITE_PROFILES); IPR011009 (SUPERFAMILY); IPR032710 (SUPERFAMILY)	F:GO:0005524; F:GO:0005516; F:GO:0004672; F:GO:0004683; P:GO:0006468	F:ATP binding; F:calmodulin binding; F:protein kinase activity; F:calmodulin-dependent protein kinase activity; P:protein phosphorylation
D915_07843	beta-adrenergic-receptor kinase	331	5	0	91.2	4	F:GO:0005524; F:GO:0004703; P:GO:0007165; P:GO:0006468	F:ATP binding; F:G-protein coupled receptor kinase activity; P:signal transduction; P:protein phosphorylation	EC:2.7.11; EC:2.7.11.16	Transferring phosphorus-containing groups; [G-protein-coupled receptor] kinase	IPR000239 (PRINTS); IPR000719 (SMART); IPR000961 (SMART); G3DSA:1.10.510.10 (GENE3D); IPR000719 (PFAM); mobidb-lite (MOBIDB_LITE); PTHR24355 (PANTHER); PTHR24355:SF22 (PANTHER); IPR000719 (PROSITE_PROFILES); IPR000961 (PROSITE_PROFILES); IPR011993 (SUPERFAMILY); IPR011009 (SUPERFAMILY)	F:GO:0005524; P:GO:0007165; F:GO:0004703; F:GO:0004672; P:GO:0006468; F:GO:0004674	F:ATP binding; P:signal transduction; F:G-protein coupled receptor kinase activity; F:protein kinase activity; P:protein phosphorylation; F:protein serine/threonine kinase activity
D915_13862	Serine threonine- kinase LATS1	613	5	0	77.4	3	F:GO:0005524; F:GO:0004674; P:GO:0006468	F:ATP binding; F:protein serine/threonine kinase activity; P:protein phosphorylation	EC:2.7.11	Transferring phosphorus-containing groups	IPR000719 (SMART); IPR000719 (PFAM); G3DSA:3.30.200.20 (GENE3D); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); IPR028741 (PTHR24356:PANTHER); PTHR24356 (PANTHER); IPR000719 (PROSITE_PROFILES); IPR011009 (SUPERFAMILY)	F:GO:0005524; F:GO:0004672; P:GO:0035329; P:GO:0006468; F:GO:0004674; P:GO:0000278	F:ATP binding; F:protein kinase activity; P:hippo signaling; P:protein phosphorylation; F:protein serine/threonine kinase activity; P:mitotic cell cycle
D915_14318	kinase domain	326	5	0	64.6	3	F:GO:0005524; F:GO:0004672; P:GO:0006468	F:ATP binding; F:protein kinase activity; P:protein phosphorylation			IPR000719 (PFAM); G3DSA:3.30.200.20 (GENE3D); G3DSA:1.10.510.10 (GENE3D); PIRSF000654 (PIRSF); mobidb-lite (MOBIDB_LITE); PTHR24355 (PANTHER); PTHR24355:SF1 (PANTHER); IPR000719 (PROSITE_PROFILES); IPR011009 (SUPERFAMILY)	F:GO:0005524; F:GO:0004672; P:GO:0006468	F:ATP binding; F:protein kinase activity; P:protein phosphorylation
D915_02433	kinase domain	226	5	6.59E-169	97.4	7	F:GO:0005524; F:GO:0004702; C:GO:0005737; P:GO:0007409; P:GO:0023014; P:GO:0030036; P:GO:0000278	"F:ATP binding; F:signal transducer, downstream of receptor, with serine/threonine kinase activity; C:cytoplasm; P:axonogenesis; P:signal transduction by protein phosphorylation; P:actin cytoskeleton organization; P:mitotic cell cycle"	EC:2.7.11	Transferring phosphorus-containing groups	IPR000719 (SMART); G3DSA:3.30.200.20 (GENE3D); IPR000719 (PFAM); PIRSF000654 (PIRSF); G3DSA:1.10.510.10 (GENE3D); PTHR24361 (PANTHER); PTHR24361:SF232 (PANTHER); IPR000719 (PROSITE_PROFILES); IPR011009 (SUPERFAMILY)	F:GO:0005524; F:GO:0004672; P:GO:0006468	F:ATP binding; F:protein kinase activity; P:protein phosphorylation
D915_02228	serine threonine kinase	371	5	0	83.8	3	F:GO:0005524; F:GO:0004672; P:GO:0006468	F:ATP binding; F:protein kinase activity; P:protein phosphorylation			IPR000719 (SMART); G3DSA:1.10.510.10 (GENE3D); PIRSF000654 (PIRSF); IPR000719 (PFAM); G3DSA:3.30.200.20 (GENE3D); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); PTHR22983 (PANTHER); PTHR22983:SF6 (PANTHER); IPR000719 (PROSITE_PROFILES); IPR011009 (SUPERFAMILY)	F:GO:0005524; F:GO:0004672; P:GO:0006468	F:ATP binding; F:protein kinase activity; P:protein phosphorylation
D915_02483	beta-adrenergic-receptor kinase	354	5	0	92.4	4	F:GO:0005524; F:GO:0004703; P:GO:0007165; P:GO:0006468	F:ATP binding; F:G-protein coupled receptor kinase activity; P:signal transduction; P:protein phosphorylation	EC:2.7.11; EC:2.7.11.16	Transferring phosphorus-containing groups; [G-protein-coupled receptor] kinase	IPR000239 (PRINTS); IPR000961 (SMART); IPR000719 (SMART); IPR000719 (PFAM); G3DSA:1.10.510.10 (GENE3D); IPR011993 (G3DSA:2.30.29.GENE3D); mobidb-lite (MOBIDB_LITE); PTHR24355:SF22 (PANTHER); PTHR24355 (PANTHER); IPR000719 (PROSITE_PROFILES); IPR000961 (PROSITE_PROFILES); IPR011009 (SUPERFAMILY); IPR011993 (SUPERFAMILY)	F:GO:0005524; F:GO:0004703; P:GO:0007165; F:GO:0004672; P:GO:0006468; F:GO:0004674	F:ATP binding; F:G-protein coupled receptor kinase activity; P:signal transduction; F:protein kinase activity; P:protein phosphorylation; F:protein serine/threonine kinase activity
D915_04026	serine threonine kinase	905	5	0	68.4	4	F:GO:0000166; F:GO:0043167; F:GO:0004672; P:GO:0016310	F:nucleotide binding; F:ion binding; F:protein kinase activity; P:phosphorylation			IPR000719 (SMART); IPR000719 (PFAM); G3DSA:1.10.287.620 (GENE3D); G3DSA:1.20.5.340 (GENE3D); G3DSA:1.20.5.50 (GENE3D); G3DSA:1.10.510.10 (GENE3D); PTHR22988 (PANTHER); IPR029875 (PTHR22988:PANTHER); IPR000961 (PROSITE_PROFILES); IPR000719 (PROSITE_PROFILES); IPR011009 (SUPERFAMILY)	F:GO:0005524; F:GO:0004672; P:GO:0006468; F:GO:0004674	F:ATP binding; F:protein kinase activity; P:protein phosphorylation; F:protein serine/threonine kinase activity
D915_10818	kinase domain	265	5	0	92.2	7	F:GO:0005524; F:GO:0004702; C:GO:0005737; P:GO:0007409; P:GO:0023014; P:GO:0030036; P:GO:0000278	"F:ATP binding; F:signal transducer, downstream of receptor, with serine/threonine kinase activity; C:cytoplasm; P:axonogenesis; P:signal transduction by protein phosphorylation; P:actin cytoskeleton organization; P:mitotic cell cycle"	EC:2.7.11	Transferring phosphorus-containing groups	IPR000719 (SMART); G3DSA:1.10.510.10 (GENE3D); PIRSF000654 (PIRSF); IPR000719 (PFAM); G3DSA:3.30.200.20 (GENE3D); PTHR24361:SF232 (PANTHER); PTHR24361 (PANTHER); IPR000719 (PROSITE_PROFILES); IPR011009 (SUPERFAMILY)	F:GO:0005524; F:GO:0004672; P:GO:0006468	F:ATP binding; F:protein kinase activity; P:protein phosphorylation
D915_06841	kinase domain	851	5	0	92	3	F:GO:0005524; F:GO:0004672; P:GO:0006468	F:ATP binding; F:protein kinase activity; P:protein phosphorylation			IPR000719 (PFAM); G3DSA:1.10.510.10 (GENE3D); G3DSA:3.30.200.20 (GENE3D); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); PTHR24361:SF345 (PANTHER); PTHR24361 (PANTHER); IPR000719 (PROSITE_PROFILES); IPR011009 (SUPERFAMILY)	F:GO:0005524; F:GO:0004672; P:GO:0006468	F:ATP binding; F:protein kinase activity; P:protein phosphorylation
D915_05401	kinase domain	936	5	0	80.6						IPR015940 (SMART); IPR000719 (SMART); G3DSA:3.30.200.20 (GENE3D); G3DSA:1.10.510.10 (GENE3D); G3DSA:3.30.200.20 (GENE3D); G3DSA:1.10.8.10 (GENE3D); IPR000719 (PFAM); G3DSA:3.30.310.80 (GENE3D); IPR001772 (PFAM); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); IPR033624 (PANTHER); IPR000719 (PROSITE_PROFILES); IPR001772 (PROSITE_PROFILES); IPR015940 (PROSITE_PROFILES); cd14337 (CDD); IPR028375 (SUPERFAMILY); IPR011009 (SUPERFAMILY)	F:GO:0005524; P:GO:0030010; F:GO:0004672; P:GO:0000226; P:GO:0006468; F:GO:0004674	F:ATP binding; P:establishment of cell polarity; F:protein kinase activity; P:microtubule cytoskeleton organization; P:protein phosphorylation; F:protein serine/threonine kinase activity
D915_05284	serine threonine kinase	596	5	2.25E-180	84.8	3	F:GO:0005524; F:GO:0004674; P:GO:0006468	F:ATP binding; F:protein serine/threonine kinase activity; P:protein phosphorylation	EC:2.7.11	Transferring phosphorus-containing groups	G3DSA:3.30.200.20 (GENE3D); G3DSA:1.10.510.10 (GENE3D); IPR000719 (PFAM); IPR036867 (G3DSA:3.30.1370.GENE3D); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); PTHR44529 (PANTHER); IPR000719 (PROSITE_PROFILES); cd02325 (CDD); IPR011009 (SUPERFAMILY); IPR036867 (SUPERFAMILY)	F:GO:0003676; F:GO:0005524; F:GO:0004672; P:GO:0006468	F:nucleic acid binding; F:ATP binding; F:protein kinase activity; P:protein phosphorylation
D915_09726	serine threonine kinase	349	5	0	86.6	4	F:GO:0005524; F:GO:0004702; C:GO:0005737; P:GO:0023014	"F:ATP binding; F:signal transducer, downstream of receptor, with serine/threonine kinase activity; C:cytoplasm; P:signal transduction by protein phosphorylation"	EC:2.7.11	Transferring phosphorus-containing groups	IPR000719 (SMART); PIRSF000654 (PIRSF); IPR000719 (PFAM); G3DSA:1.10.510.10 (GENE3D); G3DSA:3.30.200.20 (GENE3D); PTHR43671:SF22 (PANTHER); PTHR43671 (PANTHER); IPR000719 (PROSITE_PROFILES); IPR011009 (SUPERFAMILY)	F:GO:0005524; F:GO:0004672; P:GO:0006468	F:ATP binding; F:protein kinase activity; P:protein phosphorylation
D915_01443	kinase domain	493	5	0	71	4	F:GO:0004674; F:GO:0005488; P:GO:0006468; C:GO:0044424	F:protein serine/threonine kinase activity; F:binding; P:protein phosphorylation; C:intracellular part	EC:2.7.11	Transferring phosphorus-containing groups	IPR000719 (SMART); G3DSA:3.30.200.20 (GENE3D); IPR000719 (PFAM); G3DSA:1.10.510.10 (GENE3D); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); PTHR24349 (PANTHER); IPR000719 (PROSITE_PROFILES); IPR011009 (SUPERFAMILY)	F:GO:0005524; F:GO:0004672; P:GO:0006468	F:ATP binding; F:protein kinase activity; P:protein phosphorylation
D915_03208	C2 domain	309	5	0	78.8	4	F:GO:0000166; F:GO:0046872; P:GO:0016310; F:GO:0004674	F:nucleotide binding; F:metal ion binding; P:phosphorylation; F:protein serine/threonine kinase activity	EC:2.7.11	Transferring phosphorus-containing groups	IPR000008 (PRINTS); IPR000008 (SMART); IPR000719 (SMART); IPR000719 (PFAM); IPR035892 (G3DSA:2.60.40.GENE3D); G3DSA:3.30.200.20 (GENE3D); IPR000008 (PFAM); G3DSA:1.10.510.10 (GENE3D); PTHR24356 (PANTHER); PTHR24356:SF158 (PANTHER); IPR000719 (PROSITE_PROFILES); IPR000008 (PROSITE_PROFILES); cd04026 (CDD); IPR011009 (SUPERFAMILY); IPR035892 (SUPERFAMILY)	F:GO:0005524; F:GO:0004672; P:GO:0006468	F:ATP binding; F:protein kinase activity; P:protein phosphorylation
D915_04347	serine threonine- kinase psk1	611	5	0	63.8	8	F:GO:0000166; F:GO:0005524; F:GO:0004672; P:GO:0016310; F:GO:0016740; F:GO:0004674; P:GO:0006468; F:GO:0016301	F:nucleotide binding; F:ATP binding; F:protein kinase activity; P:phosphorylation; F:transferase activity; F:protein serine/threonine kinase activity; P:protein phosphorylation; F:kinase activity			IPR000719 (SMART); IPR000719 (PFAM); G3DSA:1.10.510.10 (GENE3D); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); PTHR24356 (PANTHER); IPR000719 (PROSITE_PROFILES); IPR011009 (SUPERFAMILY)	F:GO:0005524; F:GO:0004672; P:GO:0006468	F:ATP binding; F:protein kinase activity; P:protein phosphorylation
D915_06079	serine threonine kinase	317	5	0	71.8	2	F:GO:0016301; P:GO:0009987	F:kinase activity; P:cellular process			IPR000719 (SMART); G3DSA:3.30.200.20 (GENE3D); G3DSA:1.10.510.10 (GENE3D); IPR000719 (PFAM); PTHR24343:SF0 (PANTHER); PTHR24343 (PANTHER); IPR000719 (PROSITE_PROFILES); IPR011009 (SUPERFAMILY)	F:GO:0005524; F:GO:0004672; P:GO:0006468	F:ATP binding; F:protein kinase activity; P:protein phosphorylation
